key;en;fa;ku;ar;bal;az
about_heading;Tired of one-off, fruitless, unaccountable actions?;از کارهای مقطعی و بی‌نتیجه و ناپاسخگو خسته‌ای؟;لە کارە کاتیی و بێ ئەنجام و بێ بەرپرسیارەکان ماندووبوویت؟;هل تعبت من الأعمال المؤقتة، غير المثمرة، وغير الخاضعة للمساءلة؟;چہ یک واری، بے نپ ءُ بے جۏابݔں کاراں سست ءُ بݔزار اِت؟;بیر دفعه‌لیک، نتیجه‌سیز و جاوابده‌لیگی اولمایان ایشلردن یورولموسونوز؟
quote_founding;Disagree with ideas freely. Attack people never. Endanger lives never.;«با ایده‌ها آزادانه مخالفت کن. به اشخاص هرگز حمله نکن. جان هیچ‌کس را هرگز به خطر نینداز.»;بە ئازادانە دژایەتیی بیرۆکەکان بکە. هەرگیز هێرش مەکە سەر کەسەکان. هەرگیز ژیانی کەس مەخە مەترسییەوە;«اختلف مع الأفكار بحرية. لا تهاجم الأشخاص أبداً. لا تعرّض حياة أحد للخطر أبداً.»;«گۏں ھیالاں آزاتانہ ناتپاک بئیت. مردماں ھرگز مَجن اِت. ھیچ کس ءِ زند ءَ ھرگز خطرہ ءَ مَگور اِت.»;«فیکیرلرله آزادجاسینا موخالیفت ائت. شخصلره هئچ واخت هجوم ائتمه. هئچ کیمین جانینی هئچ واخت تهلوکه‌یه آتما.»
quote_attribution;— DIFC Founding Principle;— اصل بنیادین کنگره;— بنچینەی دامەزراوەی کۆنگرە;— المبدأ التأسيسي للمؤتمر;— کانگرس ءِ بنگیجی رھبند;— کونقره‌نین تمل پرینسیپی
about_is_heading;What This Congress Is?;این کنگره چیست؟;ئەم کۆنگرەیە چییە؟;ما هو هذا المؤتمر؟;اے کانگرس چے اِنت؟;بو کونقره ندیر؟
about_is_1;A digital space for structured, productive political engagement;بستری دیجیتال برای مشارکت سیاسی سازمان‌دهی‌شده و مولد;بەستێنێکی دیجیتاڵی بۆ بەشداریی سیاسیی ڕێکخراو و بەرهەمدار;فضاء رقمي للمشاركة السياسية المنظمة والمنتِجة;یک ڈیجیٹالی جاگھه پمّا رݔکبند ءُ سۏبمَندݔں سیاسی پدگیری ءَ;تشکیلاتلی و نتیجه‌ور سیاسی ایشتیراک اوچون دیجیتال فضا
about_is_2;A permanent weekend rhythm producing concrete outputs;ریتم دائمی آخر هفته‌ای با خروجی‌های مشخص;ڕیتمێکی هەمیشەییی کۆتایی هەفتەیە کە ئاکامی کۆنکرێتی لێ دەکەوێتەوە;إيقاع دائم لنهاية الأسبوع بمخرجات محددة;یک مدامیݔں ھپتگ-آخری ریتمے گۏں پدّرݔں درآمداں;کونکرت نتیجه‌لری اولان داواملی هفته‌سونو ریتمی
about_is_3;Open to all Iranians who oppose the Islamic Republic regime;باز برای همه‌ی ایرانیانی که مخالف رژیم جمهوری اسلامی هستند;کراوەیە بۆ هەموو ئەو ئێرانییانەی دژی ڕژێمی کۆماری ئیسلامین;مفتوح لجميع الإيرانيين المعارضين لنظام الجمهورية الإسلامية;پچ اِنت تیوگݔں ایرانیانی واستہ کہ دژمن اَنت گۏں اسلامی جمھوری رژیم ءَ;ایسلام جومهوریتی رئژیمینه موخالیف اولان بوتون ایرانلیلارا آچیقدیر
about_is_4;Pluralist: all ethnicities, nations, languages, genders, political orientations welcome;کثرت‌گرا: همه‌ی قومیت‌ها، ملت‌ها، زبان‌ها، جنسیت‌ها و گرایش‌های سیاسی خوش‌آمدند;فرەدەنگە: هەموو نەتەوە، ئێتنیک، زمان، ڕەگەز و ئاراستە سیاسییەکان بەخێرهاتنیان لێ دەکرێت.;تعددي: جميع الإثنيات والقوميات والأجناس واللغات والتوجهات السياسية مرحب بها;پلوٗرالݔسٹ: دراھݔں کئوم، راج، زبان، جنس ءُ سیاسی رھبنداں وژآتک اِنت;کثرت‌گرا (پلورالیست): بوتون ائتنیکلر، میللتلر، دیللر، جینسلر و سیاسی ایستیقامتلر خوش گلیبلر
about_is_5;A testing ground for democratic tools and practices;آزمایشگاه ابزارها و شیوه‌های دموکراتیک;تاقیگەیەکە بۆ ئامراز و پراکتیکە دیموکراتیکەکان;مختبر لأدوات وممارسات ديمقراطية;دݔموکراسی ءِ آزارمانجاہ ءُ رھبند;دئموکراتیک آلتلر و پراکتیکالارین سیناق لابوراتوریاسی
about_is_6;Transparent: livestreamed, documented, archived;شفاف: پخش زنده، مستندسازی، آرشیو;شەفافییەت: ڕاستەوخۆ دەگوازرێتەوە و ئەرشیڤ و بەداکیۆمێنت دەکرێت.;شفاف: بث مباشر، توثيق، أرشفة;شپاک: زندگݔں شنگ، پد ءُ رند، آرشیو;شفاف: جانلی یاییم، سندلشدیرمه، آرشیو
about_isnot_heading;What This Congress Is Not?;این کنگره چه نیست؟;ئەم کۆنگرەیە چی نییە؟;ما لا يمثله هذا المؤتمر؟;اے کانگرس چے نہ اِنت؟;بو کونقره نه دئییل؟
about_isnot_1;Not a governing body or parliament-in-exile;نه یک نهاد حکومتی یا پارلمان در تبعید;دەستەیەکی حکومڕان یان پەرلەمانی لە تەبعید نییە;ليس هيئة حاكمة أو برلمان في المنفى;نہ یک واکدارݔں ادارھے یا درآمداں نندۏکݔں پارلیمانے;حاکیمیت اورقانی و یا موهاجیرتده‌کی پارلامئنت دئییل
about_isnot_2;Not a leadership election or personality showcase;نه انتخابات رهبری یا نمایش شخصیت‌ها;هەڵبژاردنی ڕێبەرایەتی یان نمایشی کەسایەتییەکان نییە;ليس انتخاب قيادة أو عرض شخصيات;نہ رھشونی ءِ گچݔنکاری ءُ نہ کہ شخصیاتانی درشان;لیدئرلیک سئچکیسی و یا شخصیت نوماییشی دئییل
about_isnot_3;Not owned by any single organization or political faction;نه متعلق به هیچ سازمان یا جناح سیاسی خاص;موڵکی هیچ ڕێکخراو یان لایەنێکی سیاسیی دیاریکراو نییە;ليس ملكاً لأي منظمة أو فصيل سياسي واحد;نہ ھیچ گل یا سیاسی ٹکْر ءِ واھندی;هئچ بیر تشکیلات و یا سیاسی جیناها مخصوص دئییل
about_isnot_4;Not a replacement for other initiatives — complementary to all;نه جایگزین سایر ابتکارات — مکمل همه;جێگرەوەی دەستپێشخەرییەکانی تر نییە و تەواوکەری هەموویانە;ليس بديلاً عن مبادرات أخرى — مكمل للجميع;نہ دگہ گامگیجانی بدل — دراھݔں گامگیجانی پورو کنۏک;باشقا تشببوسلرین یئرینی توتمور — هامی‌سینی تاماملاییر
about_isnot_5;Not a space for regime apologists;نه فضایی برای توجیه‌گران رژیم;شوێنێک نییە بۆ لایەنگرانی ڕژێم;ليس فضاءً لمبرري النظام;نہ رژیم ءِ دِلدار ءُ پاساوجارانی جاگہ;رئژیمه حاق قازاندیرانلار اوچون فضا دئییل
about_isnot_6;Not a debate club — outputs and commitments expected;نه باشگاه مناظره — خروجی و تعهد مورد انتظار است;یانەی گفتوگۆ نییە و چاوەڕوانی ئاکام و پابەندبوون دەکرێت;ليس نادي نقاش — مخرجات والتزامات متوقعة;نہ گپ ءُ تران ءِ کلۏب — درآر ءُ پابندی لوٹگ بنت;موباحیثه کلوبو دئییل — نتیجه‌لر و عؤهده‌لیکلر گؤزله‌نیلیر
wg_label;9 Parallel Tracks;۹ مسیر موازی;۹ تەوەرەی هاوتەریب;٩ مسارات متوازية;۹ ھمگرنچݔں رھسر;۹ پارالئل خطلر
wg_heading;Working Groups;کارگروه‌ها;گرووپە کارەکان;مجموعات العمل;کار ءِ گرۏپاں;ایشچی قروپلاری
wg_intro;Each group runs in its own channel with elected facilitators, producing weekly outputs.;هر کارگروه در کانال خود با تسهیل‌گران منتخب فعالیت می‌کند و هفتگی خروجی تولید می‌کند.;هەر کارگرووپێک لە کەناڵی تایبەتی خۆیدا بە ئاسانکارانی هەڵبژێردراو کار دەکات و هەفتانە دەرئەنجام بەرهەم دەهێنێت.;تعمل كل مجموعة في قناتها الخاصة مع مُيسّرين منتخبين، وتنتج مخرجات أسبوعية.;ھر گرۏپ وتی چینل ءِ تہا گۏں گچݔن بوتگݔں آساں‌کاراں کار کنت ءُ ھپتگانه درآر جۏڑ کنت.;هر قروپ اؤز کانالیندا سئچیلمیش فاسیلیتاتورلارلا ایشله‌ییر و هفته‌لیک نتیجه یارادیر.
wg1_name;Diplomatic Representation;نمایندگی دیپلماتیک;نوێنەرایەتیی دیپلۆماتیک;التمثيل الدبلوماسي;ڈݔپلۏماسی ءِ نماندگی;دیپلوماتیک نوماینده‌لیک
wg1_desc;Form credible, plural representative groups for Iran's diplomatic issues on the world stage.;تشکیل گروه‌های نمایندگی معتبر و متکثر برای مسائل دیپلماتیک ایران در صحنه جهانی.;پێکهێنانی گرووپی جێی متمانە بۆ پرسە دیپلۆماسییەکانی ئێران لە ئاستی جیهان;تشكيل مجموعات تمثيلية موثوقة ومتعددة لقضايا إيران الدبلوماسية على المسرح العالمي.;معتبر ءُ کثیر اݔں نماندگی ءِ گرۏپانی جۏڑ کنگ پمّا ایران ءِ ڈݔپلۏماسی ءِ گپاں جھانی پڑ ءَ.;ایرانین دیپلوماتیک مسأله‌لری اوچون دونیا صحنه‌سینده اعتیبارلی و چوخ‌سسلی نوماینده قروپلاری یارادین.
wg2_name;Public Participation Tools;ابزارهای مشارکت مردمی;ئامرازەکانی بەشداری گشتی;أدوات المشاركة العامة;راجی پدگیری ءِ ھاژہ (ابزاراں);ایجتیماعی ایشتیراک آلتلری
wg2_desc;Test and deploy tools for broad civic participation — Taraaz consensus mapping, referendums, mobilization.;آزمایش و استقرار ابزارهای مشارکت گسترده‌ی مدنی — نقشه‌برداری اجماع ترازش، رفراندوم‌ها، بسیج.;تاقیکردنەوە و بەکارخستنی ئامرازەکان بۆ بەشداری مەدەنی فراوان — نەخشەکێشانی هاوڕایی ترازش، ڕیفراندۆم، خەباتبوون.;اختبار ونشر أدوات المشاركة المدنية الواسعة — خرائط توافق ترازش، استفتاءات، تعبئة.;شھری پدگیری ءِ پراہ ءُ شاھگانݔں ھاژھانی ٹݔسٹ ءُ جاری کنگ — ترازش ءِ ھم‌رݔدݔں نقشہ‌کشی، رݔفرنڈم، یکجائی.;گئنیش وطنداش ایشتیراکی آلتلرینی سیناماق و تطبیق ائتمک — ترازش کونسئنسوس خریطه‌سی، رئفئرئندوملار، سفربرلیک.
wg3_name;Financial Participation & DeFi;مشارکت مالی;بەشداری دارایی و DeFi;المشاركة المالية و DeFi;مالی پدگیری ءُ دیپھائی (DeFi);مالی ایشتیراک و DeFi
wg4_name;Secure Network Building;شبکه‌سازی امن;دروستکردنی تۆڕی پارێزراو;بناء شبكات آمنة;سلامتݔں نݔٹورک‌سازی;تهلوکه‌سیز شبکه‌لشمه
wg5_name;Innovation & Ideas;ایده‌پردازی;داهێنان و بیرۆکە;الابتكار والأفكار;نۏک‌آوری ءُ ھیال;اینوواسییا و ایده یاراتما
wg6_name;Political Participation Space;فضای مشارکت سیاسی;بۆشایی بەشداری سیاسی;فضاء المشاركة السياسية;سیاسی پدگیری ءِ جاگہ;سیاسی ایشتیراک فضاسی
wg7_name;Mediation & Conflict Resolution;حل اختلاف;ناوبژیوانی و چارەسەری ناکۆکی;الوساطة وحل النزاعات;نݔمگی‌گری ءُ جݔڑہ‌ھانی گݔش‌وگوار;واسیطه‌چیلیک و موناخیشه‌لرین حللی
wg8_name;Digital Programs;دولت دیجیتال / دفاع مدنی / آموزش;بەرنامە دیجیتاڵییەکان;الحكومة الرقمية / الدفاع المدني / التعليم;ڈیجیٹالی پروگراماں;دیجیتال دؤولت / مۆلکی مودافیعه / تحصیل
wg9_name;Ecology;اکولوژی;ژینگه;الإيكولوجيا;ایکولۏجی (چاگرد);ائکولوژیا (ژینگه)
wg9_desc;From water crises and climate change to pollution and biodiversity — a space for synergizing ideas and practical solutions.;از بحران آب و تغییرات اقلیمی تا آلودگی و تنوع زیستی، اینجا بستری برای هم‌افزایی ایده‌ها و راهکارهای عملی است.;لە قەیرانی ئاو و گۆڕانی کەش‌وهەواوە بگرە تا پرسی پیسبوونی ژینگە و تێکچوونی هاوسەنگیی سروشت — سەکۆیەک بۆ یەکخستنی دیدگاکان و دۆزینەوەی چارەسەری بنەڕەتی.;من أزمة المياه وتغيّر المناخ إلى التلوث والتنوع البيولوجي — فضاء لتضافر الأفكار والحلول العملية.;چہ آپ ءِ نادراھی ءُ آب‌ءُ‌ھوا ءِ مٹ ءُ بدلی بگر تاں آلودگی ءُ زندمانی گۏناگۏنی — ھیالاں ءُ کرداری راھشونانی ھم‌گرنچی ءِ یک بسترے.;سو بؤحرانلاری و ایقلیم دییشیکلیگیندن توتموش چیرکلنمه و بیولوژی موختلیفلییه قدر — فیکیرلرین و پراتیک حللرین سینئرژی فضاسی.
rhythm_label;Every Weekend, Without End;هر آخر هفته، بدون پایان;هەموو کۆتایی هەفتەیەک، بەبێ کۆتایی;كل نهاية أسبوع، بلا نهاية;ھر ھپتگ ءِ آخرا، بے سرھد;هر هفته‌سونو، سونسوز
rhythm_heading;The Weekly Rhythm;ریتم هفتگی;ڕیتمی هەفتانە;الإيقاع الأسبوعي;ھپتگ ءِ ریتم;هفته‌لیک ریتم
rhythm_intro;Not a one-off congress. A permanent cadence of deliberation, decision, and action.;نه یک کنگره‌ی یکباره. یک آهنگ دائمی از گفتگو، تصمیم‌گیری و اقدام.;نەک کۆنگرەیەکی تاک. ڕیتمێکی هەمیشەیی لە گفتوگۆ، بڕیاردان و کردەوە.;ليس مؤتمراً لمرة واحدة. إيقاع دائم من التشاور والقرار والعمل.;نہ یک واریݔں کانگرسے۔ گپ ءُ تران، پݔسلہ ءُ کار ءِ یک مدامیݔں ریتمے۔;بیر دفعه‌لیک کونقره دئییل. مصلحتلشمه، قرار و عملین دایمی ریتمی.
day_saturday;Saturday;شنبه;شەممە;السبت;شمبے;شنبه
day_sunday;Sunday;یکشنبه;یەکشەممە;الأحد;یکشمبے;بازار گونو (یئکشنبه)
day_weekdays;Weekdays;روزهای هفته;ڕۆژانی هەفتە;أيام الأسبوع;ھپتگ ءِ رۏچاں;هفته ایچی گونلر
governance_label;Accountability by Design;پاسخگویی نهادینه درطراحی ساختار ;بەرپرسیارێتیی دامەزراو لە دیزاینی ڕێکخستن;المُساءلة المؤسسية في تصميم الهيكل;دْروشُم ءِ ڈݔزائن ءِ تہا ادارگی جۏاب‌دھی;ایستروکتورون دیزاینین‌ده نهادی جاوابده‌لیک
governance_heading;Governance Structure;ساختار حکمرانی;ڕێکخستنی بەڕێوەبردن;هيكل الحوكمة;واکداری ءِ دْروشُم;ایداره‌ائتمه ایستروکتورو
governance_intro;Every body is checked by the body above it. Everyone is ultimately accountable to the General Assembly.;هر نهاد توسط نهاد بالاتر بررسی می‌شود. همه در نهایت پاسخگوی مجمع عمومی هستند.;هەر دامەزراوەیەک لەلایەن دامەزراوەی سەرەوەوە چاودێری دەکرێت. هەمووان لە کۆتاییدا بەرپرسن لە بەرامبەر کۆبوونەوەی گشتی.;كل هيئة تخضع لرقابة الهيئة التي فوقها. الجميع مسؤول في النهاية أمام الجمعية العامة.;ھر ادارگ چہ وتی برزی ادارگ ءَ چار ءُ ٹپاس بیت. دراھݔں مردم گڈسرا چمّانکی مجلس ءِ دݔما جۏاب‌دہ اَنت.;هر بیر قوروم اؤزوندن اوستده‌کی قوروم طرفیندن نظارت اولونور. هامی یئکوندا باش مجلیسه جاوابده‌دیر.
gov_ga;General Assembly;مجمع عمومی;کۆبوونەوەی گشتی;الجمعية العامة;چمّانکی مجلس / عامݔں دیوان;باش مجلس (عمومی مجلس)
gov_cc;Coordination Council;شورای هماهنگی;ئەنجوومەنی هاوئاهەنگی;مجلس التنسيق;ھمگرنچی ءِ شۏرا;کووردیناسیا شوراسی
gov_wg;Working Groups;کارگروه‌ها;گرووپە کارەکان;مجموعات العمل;کار ءِ گرۏپاں;ایشچی قروپلاری
gov_watchdog;Accountability Watchdog;ناظر پاسخگویی;چاودێری بەرپرسیارێتی;هيئة الرقابة والمُساءلة;جۏاب‌دھی ءِ چارگݔر (ناظر);جاوابده‌لیک ناظیری
gov_tag_sovereign;Sovereign Body;نهاد حاکمیتی;دامەزراوەی هاکم;الهيئة السيادية;واکدارݔں ادارگ;سوورن قوروم
redlines_label;Boundaries;حد و مرزها;حد و سنوورەکان;الحدود;حد ءُ مرزاں;حد و سرحدلر
redlines_heading;Red Lines;خطوط قرمز;هێڵی سوور;خطوط حمراء;سُھرݔں لکݔر;قیرمیزی خطلر
redlines_intro;The congress is radically open to ideas — but has absolute boundaries on behavior.;این کنگره نسبت به ایده‌ها کاملاً باز است — اما در رفتار،  مرزهای مطلق دارد.;ئەم کۆنگرەیە بە شێوەیەکی تەواو کراوەیە بۆ بیرۆکەکان — بەڵام لە ڕەفتاردا سنووری ڕەهای هەیە.;هذا المؤتمر منفتح بالكامل على الأفكار — لكنه يضع حدوداً مطلقة للسلوك.;اے کانگرس ھیالانی دݔما سَرجم ءَ پچ اِنت — بلے رپتار ءِ سر ءَ سکّݔں حد ءُ مرز پر اِنت.;بو کونقره فیکیرلره کامل آچیقدیر — آمما داورانیشدا قطعی حد و سرحدلر وار.
redline_1;Support for the Islamic Republic regime;حمایت از رژیم جمهوری اسلامی;پشتیوانی لە ڕژێمی کۆماری ئیسلامی;دعم نظام الجمهورية الإسلامية;اسلامی جمھوری رژیم ءِ پُشتیوانی;ایسلام جومهوریتی رئژیمینی دستکلمک
redline_2;Advocacy for theocratic governance;تبلیغ حکومت دینی;پاراستنی حکومەتی مەزهەبی;الدعوة لحكومة ثيوقراطية;دینی سرکار ءِ جار ءُ تبلیغ;تئئوکراتیک (دینی) ایداره‌ائتمه‌نین تبلیغی
redline_3;Doxxing or exposing identities of activists;افشای هویت فعالان;ئاشکراکردنی ناسنامەی چالاکوانان;كشف أو نشر هويات الناشطين;چالاکوانانی پجّار ءُ پدّر کنگ (Doxxing);آکتیویستلرین کیملیکلرینی ایفشا ائتمک (داکسینق)
redline_4;Hate speech targeting ethnic, religious, or gender groups;نفرت‌پراکنی علیه گروه‌های قومی و ملی، مذهبی یا جنسیتی;وتەی ڕقی دژی گرووپی نەتەوەیی، ئایینی یا ڕەگەزی;خطاب كراهية ضد مجموعات عرقية أو دينية أو جنسية;کئومی، دینی یا جنسی گرۏپانی ھلاپ ءَ کینگی گپ ءُ تران;ائتنیک، دینی و یا جینسیت قروپلارینی هدف آلان نیفرت نیتقی
redline_5;Harassment, threats, intimidation;آزار، تهدید، ارعاب;ئازار، هەڕەشە، ترساندن;مضايقة، تهديد، ترهيب;آزار دیگ، تُرسݔنگ، زوراکی;ایزدیهام، تهدید، قورخوتما
welcome_heading;Explicitly Welcome;صراحتاً مجاز;بە ئاشکرا بەخێرهاتوو;مرحب به صراحة;پدّر ءُ پاشک وژآتک اِنت;آچیق شکیلده ایجازه وئریلیر
join_label;Get Involved;مشارکت کنید;بەشداربوون;شارك;ھوار بئیت / پدگیری بکن اِت;ایشتیراک ائدین
join_heading;Join the Congress;به کنگره بپیوندید;بەشداربە لە کۆنگرەدا;انضم إلى المؤتمر;کانگرس ءَ گۏں بئیت;کونقره‌یه قوشولون
join_intro;Accept the code of conduct, join the workspace, and start contributing this weekend.;آیین‌نامه رفتاری را بپذیرید، نقش خود را انتخاب کنید، و همین آخر هفته شروع به مشارکت کنید.;کۆدی ڕەفتار بپەسێنە، ڕۆڵی خۆت هەڵبژێرە و لەم کۆتایی هەفتەیەوە دەست بە بەشداری بکە.;اقبل مدونة السلوك، واختر دورك، وابدأ بالمساهمة هذا الأسبوع.;رپتاری رھبنداں منّ اِت، وتی رۏل ءَ گچݔن بکن اِت، ءُ ھمے ھپتگ ءِ آخرا پدگیری ءَ بندات بکن اِت.;داورانیش قایدالارینی قبول ائدین، اؤز رولونوزو سئچین و بو هفته‌سونو ایشتیراکا باشلایین.
tier_observer;Observer;ناظر;چاودێر;مراقب;چارگݔر;Gözlemci
tier_participant;Contributor;مشارکت‌کننده;بەشداربوو;مشارك;پدگیرۏک;Katılımcı
tier_verified;Organiser;سازمان‌دهنده;ڕێکخەر;منظم;سازمان‌ده‌ئوک;Organizatör
partners_label;Coalition;ائتلاف;هاوپەیمانی;تحالف;اِتّھاد;کوالیسیا
partners_heading;Partners & Ecosystem;همکاران و اکوسیستم;هاوبەشان و ئیکۆسیستم;الشركاء والنظام البيئي;ھمکار ءُ ایکۏسسٹم;طرفداشلار و ائکوسیستئم
tech_heading;Technology Stack;زیرساخت فناوری;ستاکی تەکنەلۆژی;المكدس التقني;ٹݔکنالۏجی ءِ بنگیج;تکنولوژی آلت‌یاپیسی
roadmap_label;The Path Forward;مسیر پیش رو;ڕێگای پێشەوە;الطريق إلى الأمام;دݔمتر ءِ رھسر;ایره‌لی‌یه دوغرو یول
roadmap_heading;Roadmap;نقشه‌ی راه;نەخشەڕێ;خارطة الطريق;رھسر ءِ نقشہ;یول خریطه‌سی
phase_0;Phase 0: Foundation (Now);فاز ۰: بنیاد (اکنون);قۆناغی ٠: بنەما (ئێستا);المرحلة ٠: التأسيس (الآن);پاز ۰: بنگیج (نݔں);فاز ۰: بونؤوره (ایندی)
phase_1;Phase 1: Launch Sprint (48 Hours);فاز ۱: برنامه آغازین (۴۸ ساعت);قۆناغی ١: بەرنامەی دەستپێک (٤٨ کاتژمێر);المرحلة ١: برنامج الإطلاق (٤٨ ساعة);پاز ۱: بنگیجی پروگرام (۴۸ کلاک);فاز ۱: باشلانغیج برناماسی (۴۸ ساعات)
phase_2;Phase 2: Scale (Months 1–6);فاز ۲: مقیاس‌بندی (ماه‌های ۱–۶);قۆناغی ٢: گەورەبوون (مانگی ١–٦);المرحلة ٢: التوسع (الأشهر ١–٦);پاز ۲: پِراخ بئیگ (ماھانی ۱–۶);فاز ۲: گئنیشلنمه (آیلار ۱–۶)
phase_3;Phase 3: Institutionalize (Year 2+);فاز ۳: نهادسازی (سال ۲+);قۆناغی ٣: دامەزراندن (ساڵی ٢+);المرحلة ٣: المأسسة (السنة ٢+);پاز ۳: ادارگ‌سازی (سال ۲+);فاز ۳: موسسه‌لشمه (ایل ۲+)
footer_congress;Congress;کنگره;کۆنگرە;المؤتمر;کانگرس;کونقره
footer_participate;Participate;مشارکت;بەشداری;شارك;پدگیری;ایشتیراک
footer_ecosystem;Ecosystem;اکوسیستم;ژینگه;النظام البيئي;ایکۏسسٹم;ائکوسیستئم
footer_languages;Languages;زبان‌ها;زمانەکان;اللغات;زباناں;دیللر
copyright;© 2026 Digital Iran Freedom Congress. Open source. Censorship resistant.;© ۲۰۲۶ کنگره‌ی دیجیتال آزادی ایران. منبع‌باز و درتقابل با سانسور.;© ٢٠٢٦ کۆنگرەی دیجیتاڵیی ئازادیی ئێران. سەرچاوەکراو و دژ بە سانسۆر.;© ٢٠٢٦ المؤتمر الرقمي لحرية إيران. مفتوح المصدر ومناهض للرقابة.;© ۲۰۲۶ ایران ءِ آزاتی ءِ ڈیجیٹالی کانگرس. پچݔں سرچمگ ءُ سانسور ءِ ھلاپ.;© ۲۰۲۶ ایرانین دیجیتال آزادلیق کونقره‌سی. آچیق قایناق و سانسورا قارشی.
